x,f_hz,V_real,V_imag
0.2,0.25,2.752206024660922e-06,-2.412363996363832e-05
0.2,0.5,-2.4233546036358313e-05,-1.8949763177182397e-05
0.2,0.75,1.8149733414910108e-05,-8.856323686792419e-05
0.2,1.0,-0.00014991310602391464,-6.6837132459684625e-06
0.2,1.25,8.762438490989827e-06,-8.748474743120652e-05
0.2,1.5,-0.0002244772752822631,3.9722495760283774e-05
0.2,1.75,-7.402125223967812e-05,6.462962773028189e-05
0.2,2.0,-7.397058800540353e-05,3.046261380511122e-05
0.2,2.25,-0.00015117718663488664,-9.099393985685349e-05
0.2,2.5,-0.0001809734125753209,4.8129571739130635e-05
0.2,2.75,-5.976747958237516e-05,-4.307787123741215e-05
0.2,3.0,-0.00012674315706109063,2.4046698871133154e-06
0.2,3.25,-0.0001454642635408321,3.074423494426577e-05
0.2,3.5,-0.00015248306595072573,0.00017130751181227165
0.2,3.75,1.5960420214036666e-05,0.00014703646431133067
0.2,4.0,1.2361162653389827e-05,0.00012393684945883522
0.2,4.25,4.5961685840747946e-05,0.00013155316230211895
0.2,4.5,3.8661927370366346e-05,0.00012073105049249021
0.2,4.75,8.189507638593009e-06,-4.1394514385748645e-06
0.2,5.0,-0.00012228252545469967,3.700353934427668e-05
0.2,5.25,5.16039619119981e-05,7.142937911524679e-05
0.2,5.5,-0.00012351806743889182,-1.2575379358773742e-05
0.2,5.75,-6.630027845295348e-05,0.00010375877757933225
0.2,6.0,-1.6491996436047526e-05,0.00010826666182556002
0.2,6.25,-4.9884782579955786e-05,0.00018547294063659233
0.2,6.5,-4.587320634236406e-05,0.00016695624131783367
0.2,6.75,-1.070513078492004e-05,0.00017801561125209788
0.2,7.0,2.4400769534929828e-05,8.91367165379817e-05
0.2,7.25,0.00010564954339310558,0.00012645325843527557
0.2,7.5,-1.2883744524434854e-05,4.42748469245835e-05
0.2,7.75,7.519474451961535e-05,1.8425051602218606e-05
0.2,8.0,3.7427428008811545e-05,-3.099532626906112e-05
0.2,8.25,-9.788115893202431e-05,4.9370434553087074e-05
0.2,8.5,1.7067263970067272e-05,9.439690054762749e-05
0.2,8.75,2.3975762724520597e-05,5.433305043888432e-05
0.2,9.0,7.493555450033333e-05,6.22112888719725e-07
0.2,9.25,6.541408525339043e-05,4.700606925266365e-05
0.2,9.5,7.406945227170744e-05,-3.2460425584570485e-05
0.2,9.75,2.0980295662536885e-05,-8.271187338543911e-05
0.2,10.0,-4.268471492015905e-05,-1.409911044837224e-06
0.2,10.25,-7.16654443092534e-05,-1.0683277530615445e-05
0.2,10.5,-7.079999219395799e-05,-1.9923466584786157e-05
0.2,10.75,-8.195334603821809e-05,2.066171621066449e-05
0.2,11.0,-4.8286638718692335e-05,0.00020429895175286478
0.2,11.25,5.7969118922690844e-06,6.361068392374864e-05
0.2,11.5,-3.4470778213509544e-05,0.00012451848342221724
0.2,11.75,9.309945435355045e-05,9.097682323908025e-05
0.2,12.0,4.150386880020847e-05,0.0001127168233153711
0.2,12.25,0.00012288444043638894,9.244517768291696e-05
0.2,12.5,8.793499988382406e-05,3.1954932706577004e-05
0.2,12.75,0.00016260961188645305,1.9947401460511926e-05
0.2,13.0,0.0001797261366529783,-5.7444288271935464e-05
0.2,13.25,0.0001127878242998475,-4.807173672095081e-05
0.2,13.5,0.00010047878820064071,-9.268175993294649e-05
0.2,13.75,8.661331662382733e-05,-0.00016405430405999925
0.2,14.0,-4.540662205863805e-06,-0.00010176161720410026
0.2,14.25,-2.917066607585582e-07,-0.00012359237418149957
0.2,14.5,-5.7860891762122816e-05,-0.0001408809239903683
0.2,14.75,-0.00014804641291478145,-1.898578776159927e-05
0.2,15.0,-0.00016301084604147405,2.9616156369693932e-05
0.2,15.25,-0.00011049757491376451,7.158673888851228e-05
0.2,15.5,-7.800258610764354e-05,0.00011602270583532702
0.2,15.75,-4.3367348445415174e-05,0.0001726831224831425
0.2,16.0,6.909473129392426e-05,0.00020008204413738705
0.2,16.25,9.277888740719875e-05,0.00017891436033928783
0.2,16.5,0.00014114009815770985,0.00013910659652595144
0.2,16.75,0.00016746105328131967,8.412908694834984e-05
0.2,17.0,0.000265600823523456,2.3733561322376145e-05
0.2,17.25,0.00021902314670950188,-5.008937487998644e-05
0.2,17.5,0.00017869637047804912,-0.0001404848603423326
0.2,17.75,0.0001372395911306906,-0.0002022105981872162
0.2,18.0,5.29795110454773e-05,-0.00023470164698288426
0.2,18.25,-2.1212221431240815e-05,-0.00026185289928654245
0.2,18.5,-9.903961663640737e-05,-0.0002185254604262711
0.2,18.75,-0.00017453057661192804,-0.00016674630408390506
0.2,19.0,-0.0002615085818337692,-8.104135942459085e-05
0.2,19.25,-0.0002686501388304191,2.1198585366663913e-05
0.2,19.5,-0.00039136332584116485,0.00016643059092708574
0.2,19.75,-0.00022768381112682652,0.00021610099247544045
0.2,20.0,-0.00010444621939751628,0.0003382340428230696
0.2,20.25,4.679356433728417e-05,0.00034477339400404796
0.2,20.5,0.00012934355573662078,0.000257436157300944
0.2,20.75,0.0002709881405831016,0.0002748974912341356
0.2,21.0,0.000325334994221907,0.00011145350762120645
0.2,21.25,0.0003883551579517186,-5.100278143767414e-05
